"uid","namedLocation","domainID","siteID","plotID","plotType","nlcdClass","geodeticDatum","decimalLatitude","decimalLongitude","coordinateUncertainty","elevation","elevationUncertainty","samplingProtocolVersion","collectDate","subplotID","sampleType","samplingMethod","vstTag","tagID","individualID","taxonID","scientificName","plantStatus","clipCellNumber","clipID","clipLength","clipWidth","percentCoverClip","sampleID","subsample1Height","subsample2Height","subsample3Height","chlorophyllSampleID","collectedBy","recordedBy","remarks","dataQF"
"9ec477d0-ca23-4d58-9e90-fa9f25933765","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","evergreenForest","WGS84",42.39229,-72.25461,20.2,184.3,0.33,"NEON.DOC.001024vE","2018-09-05T16:06Z","40","Woody individual","line launcher","Y","1146","NEON.PLA.D01.HARV.01146","QURU","Quercus rubra L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=",22.8,NA,NA,"AVQkM2txccdU9XU1geX3p7dBL1yeO83xk/bouhWA5IQ=","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","",NA
"9b760b76-4265-442e-b358-2732cfb7e83f","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","deciduousForest","WGS84",42.403097,-72.253722,20.2,188.5,0.33,"NEON.DOC.001024vE","2018-09-05T18:04Z","31","Woody individual","line launcher","Y","1779","NEON.PLA.D01.HARV.01779","QURU","Quercus rubra L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=",17.3,NA,NA,"AVQkM2txccff87SxuZNcE+iY147qeowcfWOIYRLftFk=","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","",NA
"8395174a-28fd-4ff7-8fbe-0379a9f5a30a","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","deciduousForest","WGS84",42.403097,-72.253722,20.2,188.5,0.33,"NEON.DOC.001024vE","2018-09-06T13:01Z","41","Woody individual","line launcher","Y","1176","NEON.PLA.D01.HARV.01176","QUAL","Quercus alba L.","Live, insect damaged",NA,NA,NA,NA,NA,"AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=",12.2,NA,NA,"AVQkM2txcccbfq2mByGOeXPHFFcT7zucXukXAzNK/EQ=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","",NA
"e63b9265-6245-4029-8a2a-f40b8284925c","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","deciduousForest","WGS84",42.403097,-72.253722,20.2,188.5,0.33,"NEON.DOC.001024vE","2018-09-06T14:34Z","40","Woody individual","line launcher","Y","1163","NEON.PLA.D01.HARV.01163","QUVE","Quercus velutina Lam.","Live",NA,NA,NA,NA,NA,"AVQkM2txccenLB73JxEdacLoLcwaSeCKrDi+Yo1Cuyg=",14.5,NA,NA,"AVQkM2txccenLB73JxEdacLoLcwaSeCKVyfJWp3MM4I=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","Originally recorded as a QURU",NA
"c0b50298-d148-41b3-87ed-2368687a68d8","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","mixedForest","WGS84",42.427091,-72.229737,20.2,199.7,0.18,"NEON.DOC.001024vE","2018-09-06T16:56Z","40","Woody individual","line launcher","Y","1928","NEON.PLA.D01.HARV.01928","ACRU","Acer rubrum L.","Live, disease damaged",NA,NA,NA,NA,NA,"AVQkM2txccfoJDNLYOYIVdYKO96X0hP5YNhoGUjrzdg=",19.5,NA,NA,"AVQkM2txccfoJDNLYOYIVdYKO96X0hP5qNBjBC9Klnw=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","",NA
"3b96a985-a1c5-49cd-b849-cde29c060792","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","mixedForest","WGS84",42.427091,-72.229737,20.2,199.7,0.18,"NEON.DOC.001024vE","2018-09-06T18:11Z","31","Woody individual","line launcher","Y","1913","NEON.PLA.D01.HARV.01913","CAOV2","Carya ovata (Mill.) K. Koch","Live, disease damaged",NA,NA,NA,NA,NA,"AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7W5OTZwMQwvE=",12.7,NA,NA,"AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7kGfPBInV5WLU54xAzu4PYw==","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","",NA
"7fccea81-95b7-4d7d-9b85-d4d3329380de","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","mixedForest","WGS84",42.427091,-72.229737,20.2,199.7,0.18,"NEON.DOC.001024vE","2018-09-07T14:22Z","32","Woody individual","line launcher","Y","1937","NEON.PLA.D01.HARV.01937","QUAL","Quercus alba L.","Live",NA,NA,NA,NA,NA,"AVQkM2txcccSmS/+trysX9MD/YSgk8+T4vjMfdPDA4I=",17.2,NA,NA,"AVQkM2txcccSmS/+trysX9MD/YSgk8+Ta5utHpXhGbA=","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","PONzcN543LsItiUs2/ovWZJvhJKCR2wp0yn9Wu6+yr8=","",NA
"42051eb7-9d5b-4cb4-b320-f52cb2bbdf8c","HARV_010.basePlot.cfc","D01","HARV","HARV_010","distributed","mixedForest","WGS84",42.424733,-72.2546,20.1,206.5,0.15,"NEON.DOC.001024vE","2018-09-07T17:11Z","32","Woody individual","line launcher","Y","1397","NEON.PLA.D01.HARV.01397","PIST","Pinus strobus L.","Live",NA,NA,NA,NA,NA,"AVQkM2txcccPybg3jdEvENrtT75oYMHcXgqTe+G80ok=",16.7,NA,NA,"AVQkM2txcccPybg3jdEvENrtT75oYMHcdsYMXBGTcTo=","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","PONzcN543LsItiUs2/ovWZJvhJKCR2wp0yn9Wu6+yr8=","",NA
"7ef63ece-63a6-4706-8b36-ec3154cf1bac","HARV_010.basePlot.cfc","D01","HARV","HARV_010","distributed","mixedForest","WGS84",42.424733,-72.2546,20.1,206.5,0.15,"NEON.DOC.001024vE","2018-09-07T17:18Z","31","Woody individual","line launcher","Y","1660","NEON.PLA.D01.HARV.01660","QURU","Quercus rubra L.","Live",NA,NA,NA,NA,NA,"AVQkM2txcccewditTwq1KuTCeBLO/0I69XwYsO5JkgA=",19.6,NA,NA,"AVQkM2txcccewditTwq1KuTCeBLO/0I6sqiSgBniULw=","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","PONzcN543LsItiUs2/ovWZJvhJKCR2wp0yn9Wu6+yr8=","",NA
"89f84eb8-5f21-423d-b518-e5e9b6a79222","HARV_010.basePlot.cfc","D01","HARV","HARV_010","distributed","mixedForest","WGS84",42.424733,-72.2546,20.1,206.5,0.15,"NEON.DOC.001024vE","2018-09-07T18:21Z","41","Woody individual","line launcher","Y","1650","NEON.PLA.D01.HARV.01650","TSCA","Tsuga canadensis (L.) Carrière","Live",NA,NA,NA,NA,NA,"AVQkM2txcccWZgV/vveh/oF23uonq/XmCwAmhLDCbJc=",5.5,NA,NA,"AVQkM2txcccWZgV/vveh/oF23uonq/Xm+8JAhaJG1Wg=","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","PONzcN543LsItiUs2/ovWZJvhJKCR2wp0yn9Wu6+yr8=","",NA
"fb7c7a7e-e640-4036-a043-9e36dfc4fcad","HARV_022.basePlot.cfc","D01","HARV","HARV_022","distributed","evergreenForest","WGS84",42.434194,-72.198778,20.2,188.1,0.21,"NEON.DOC.001024vE","2018-09-10T15:13Z","31","Woody individual","line launcher","Y","1422","NEON.PLA.D01.HARV.01422","PIST","Pinus strobus L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccc6noxeRrSOsudACi5yacTWac7zJEpUOd0=",18.4,NA,NA,"AVQkM2txccc6noxeRrSOsudACi5yacTWbR9ErTqo2nQ=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","fc2gHUQJGz5N4c49wca98GJ8ioS6KgXdEBjCMmpn0YU=","",NA
"5a9ecfa9-e5b1-40f7-a4b3-61fdf10d02b7","HARV_022.basePlot.cfc","D01","HARV","HARV_022","distributed","evergreenForest","WGS84",42.434194,-72.198778,20.2,188.1,0.21,"NEON.DOC.001024vE","2018-09-10T16:11Z","41","Woody individual","line launcher","Y","1226","NEON.PLA.D01.HARV.01226","PIST","Pinus strobus L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccc6noxeRrSOspAHhVexlzM8mwyaXdOFLv0=",18.8,NA,NA,"AVQkM2txccc6noxeRrSOspAHhVexlzM83ihk2PSAZ3E=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","fc2gHUQJGz5N4c49wca98GJ8ioS6KgXdEBjCMmpn0YU=","",NA
"9082c8f8-3226-4e2f-ad88-97c9820bc68e","HARV_022.basePlot.cfc","D01","HARV","HARV_022","distributed","evergreenForest","WGS84",42.434194,-72.198778,20.2,188.1,0.21,"NEON.DOC.001024vE","2018-09-10T17:31Z","32","Woody individual","line launcher","Y","1410","NEON.PLA.D01.HARV.01410","PIST","Pinus strobus L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccc6noxeRrSOstsf5AN8gGYTM9iUT5t+h/M=",17.2,NA,NA,"AVQkM2txccc6noxeRrSOstsf5AN8gGYTCQBmmI3PnTM=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","fc2gHUQJGz5N4c49wca98GJ8ioS6KgXdEBjCMmpn0YU=","",NA
"8608ac08-a6cc-40ca-bc48-90a09ab0bfed","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","evergreenForest","WGS84",42.537318,-72.17932,20.2,364.6,0.29,"NEON.DOC.001024vE","2018-09-10T19:01Z","41","Woody individual","line launcher","Y","5180","NEON.PLA.D01.HARV.05180","TSCA","Tsuga canadensis (L.) Carrière","Live, insect damaged",NA,NA,NA,NA,NA,"AVQkM2txcceLRS2ArSfV2TKAS6PImhMJOsxtT1HohFU=",17.3,NA,NA,"AVQkM2txcceLRS2ArSfV2TKAS6PImhMJ7y/4zzIY57E=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","fc2gHUQJGz5N4c49wca98GJ8ioS6KgXdEBjCMmpn0YU=","Hemlock woolly adelgid",NA
"7d99115c-d291-437a-bfab-0a73a71efc55","HARV_021.basePlot.cfc","D01","HARV","HARV_021","distributed","evergreenForest","WGS84",42.45244,-72.2505,20.1,174.6,0.16,"NEON.DOC.001024vE","2018-09-11T13:40Z","40","Woody individual","line launcher","Y","2829","NEON.PLA.D01.HARV.02829","ACRU","Acer rubrum L.","Live, disease damaged",NA,NA,NA,NA,NA,"AVQkM2txcceHQFirHzLlz4nW78zFSrJxK9BWZIIqEpY=",3.9,NA,NA,"AVQkM2txcceHQFirHzLlz4nW78zFSrJxJUznbcKpMhs=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8","",NA
"9c3ecc90-28c8-4d71-a3f6-5a6b077f31e4","HARV_021.basePlot.cfc","D01","HARV","HARV_021","distributed","evergreenForest","WGS84",42.45244,-72.2505,20.1,174.6,0.16,"NEON.DOC.001024vE","2018-09-11T16:34Z","31","Woody individual","line launcher","Y","5565","NEON.PLA.D01.HARV.05565","PIST","Pinus strobus L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccfbm8FmR6uYPhdBaTNLRjTHAMiMLvYo7JM=",17.6,NA,NA,"AVQkM2txccfbm8FmR6uYPhdBaTNLRjTHSfyHVzTZlUM=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8","",NA
"4250f30d-368e-460f-913d-beb507b43822","HARV_021.basePlot.cfc","D01","HARV","HARV_021","distributed","evergreenForest","WGS84",42.45244,-72.2505,20.1,174.6,0.16,"NEON.DOC.001024vE","2018-09-11T17:39Z","32","Woody individual","line launcher","Y","2549","NEON.PLA.D01.HARV.02549","PIST","Pinus strobus L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccfbm8FmR6uYPtcFoCQCwRlBPNXJVsHINiA=",18.2,NA,NA,"AVQkM2txccfbm8FmR6uYPtcFoCQCwRlBw6mXlEWFqcs=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8","",NA
"dc3a9548-6d49-4b19-aea3-ca4aecd4a52a","HARV_001.basePlot.cfc","D01","HARV","HARV_001","distributed","deciduousForest","WGS84",42.424254,-72.258286,20.2,190.6,0.3,"NEON.DOC.001024vE","2018-09-12T13:32Z","40","Woody individual","line launcher","Y","1053","NEON.PLA.D01.HARV.01053","BELE","Betula lenta L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccdjiqyLpwJ6Hd2h51zCMAtO2NZL09Hgnug=",10.4,NA,NA,"AVQkM2txccdjiqyLpwJ6Hd2h51zCMAtOjHnNa+XxKcE=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=","",NA
"fa9e381b-3d06-4381-bec1-18ef3ce1c7c0","HARV_001.basePlot.cfc","D01","HARV","HARV_001","distributed","deciduousForest","WGS84",42.424254,-72.258286,20.2,190.6,0.3,"NEON.DOC.001024vE","2018-09-12T14:25Z","31","Woody individual","line launcher","Y","1059","NEON.PLA.D01.HARV.01059","ACRU","Acer rubrum L.","Live",NA,NA,NA,NA,NA,"AVQkM2txcccmWvD+VUNzF6MwCeNJeRQsv29qf/p3LSo=",8.3,NA,NA,"AVQkM2txcccmWvD+VUNzF6MwCeNJeRQs5qDdK2dRN9Y=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=","",NA
"fd883521-d6da-43aa-996b-00cc3a9a1dde","HARV_001.basePlot.cfc","D01","HARV","HARV_001","distributed","deciduousForest","WGS84",42.424254,-72.258286,20.2,190.6,0.3,"NEON.DOC.001024vE","2018-09-12T15:04Z","40","Woody individual","line launcher","Y","1054","NEON.PLA.D01.HARV.01054","QURU","Quercus rubra L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccffTtmrmjG0vVZY8OLPbga3j9ACPpMZkdc=",17.9,NA,NA,"AVQkM2txccffTtmrmjG0vVZY8OLPbga3nJ2mJEVWpGY=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=","",NA
"a30c895e-0a83-495e-9452-4010b6e4bbde","HARV_005.basePlot.cfc","D01","HARV","HARV_005","distributed","deciduousForest","WGS84",42.48948,-72.2752,20.1,187.7,0.19,"NEON.DOC.001024vE","2018-09-12T17:31Z","40","Woody individual","line launcher","Y","1532","NEON.PLA.D01.HARV.01532","QURU","Quercus rubra L.","Live",NA,NA,NA,NA,NA,"AVQkM2txcccKiof8yXpZAHuQDF5jQZnUzJcb1+fDsIE=",20.3,NA,NA,"AVQkM2txcccKiof8yXpZAHuQDF5jQZnUm4ggpq8z3Q0=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=","",NA
"ddf3fa2c-5fcb-4ee7-9f1a-d03afe338ea1","HARV_005.basePlot.cfc","D01","HARV","HARV_005","distributed","deciduousForest","WGS84",42.48948,-72.2752,20.1,187.7,0.19,"NEON.DOC.001024vE","2018-09-12T18:02Z","31","Woody individual","line launcher","Y","1559","NEON.PLA.D01.HARV.01559","ACRU","Acer rubrum L.","Live",NA,NA,NA,NA,NA,"AVQkM2txcceHcJqM/wRpOotLqLf5uwVmZL07MDmXjW4=",13.9,NA,NA,"AVQkM2txcceHcJqM/wRpOotLqLf5uwVmi3LVDLB2JZ4=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=","",NA
"6decb5a5-dd44-4b50-83bd-1e8b9d75ea7f","HARV_005.basePlot.cfc","D01","HARV","HARV_005","distributed","deciduousForest","WGS84",42.48948,-72.2752,20.1,187.7,0.19,"NEON.DOC.001024vE","2018-09-12T18:43Z","41","Woody individual","line launcher","Y","1545","NEON.PLA.D01.HARV.01545","QURU","Quercus rubra L.","Live, insect damaged",NA,NA,NA,NA,NA,"AVQkM2txcccKiof8yXpZAIZh3QZPb/WruL57gVIC+GE=",17.3,NA,NA,"AVQkM2txcccKiof8yXpZAIZh3QZPb/WrwOYxNoOaS9s=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=","",NA
"717960b0-68d1-4ec6-9c62-5d4dd4442d6f","HARV_002.basePlot.cfc","D01","HARV","HARV_002","distributed","deciduousForest","WGS84",42.478578,-72.259572,20.2,192.6,0.26,"NEON.DOC.001024vE","2018-09-13T13:17Z","32","Woody individual","line launcher","Y","3223","NEON.PLA.D01.HARV.03223","BELE","Betula lenta L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccfiSjgtVV+ppr9FMbi3QSanDTsoqzSu/KE=",13.3,NA,NA,"AVQkM2txccfiSjgtVV+ppr9FMbi3QSancpDIdLHT3CI=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=","",NA
"cd43b596-0112-464c-b906-87e2b8d1d8dc","HARV_002.basePlot.cfc","D01","HARV","HARV_002","distributed","deciduousForest","WGS84",42.478578,-72.259572,20.2,192.6,0.26,"NEON.DOC.001024vE","2018-09-13T13:48Z","41","Woody individual","line launcher","Y","3231","NEON.PLA.D01.HARV.03231","QURU","Quercus rubra L.","Live, insect damaged",NA,NA,NA,NA,NA,"AVQkM2txccdwqwobATHHU2r8Mh0CVy+IIuJthUt1BUc=",11.5,NA,NA,"AVQkM2txccdwqwobATHHU2r8Mh0CVy+I5P1XjE2pVlg=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=","",NA
"7d7eb078-dffb-407c-a9ba-cd2e8da078b7","HARV_002.basePlot.cfc","D01","HARV","HARV_002","distributed","deciduousForest","WGS84",42.478578,-72.259572,20.2,192.6,0.26,"NEON.DOC.001024vE","2018-09-13T15:14Z","41","Woody individual","line launcher","Y","3230","NEON.PLA.D01.HARV.03230","BELE","Betula lenta L.","Live",NA,NA,NA,NA,NA,"AVQkM2txccfiSjgtVV+pptOYsYeSWQKy/Cef7KABvT4=",7.2,NA,NA,"AVQkM2txccfiSjgtVV+pptOYsYeSWQKyk88tXplDPUQ=","LKs1fXw8CrL7Ae6rK2M0c9gQ2+4cXY7Ldatuh3lvqQM=","ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=","",NA
